antname,elevation,x,y
LWA-313,1183.44,254.57,402.81
LWA-314,1184.08,116.95,386.31
LWA-315,1178.23,-961.7,-254.5
LWA-316,1178.46,-1000.98,-143.6
LWA-317,1183.03,-395.22,-167.66
LWA-318,1182.62,-272.06,-244.48
LWA-319,1180.26,-1194.28,450.93
LWA-320,1179.61,-947.28,447.73
LWA-321,1185.1,-524.4,720.65
LWA-322,1185.01,-693.31,995.77
LWA-323,1183.34,208.57,203.61
LWA-324,1182.97,271.45,18.88
LWA-325,1185.1,415.29,924.9
LWA-326,1184.46,294.29,730.96
LWA-327,1185.05,-428.18,864.5
LWA-328,1185.47,-452.48,1049.41
LWA-329,1184.67,251.37,870.82
LWA-330,1185.03,134.88,782.65
LWA-331,1185.03,3.68,910.4
LWA-332,1184.54,-74.39,791.66
LWA-333,1183.22,392.58,154.46
LWA-334,1183.66,358.37,399.86
LWA-335,1178.79,-916.01,-91.05
LWA-336,1181.55,-737.55,163.28
LWA-337,1183.64,-355.54,114.23
LWA-338,1184.33,-84.27,371.57
LWA-339,1184.69,-201.66,782.24
LWA-340,1184.74,-364.76,641.34
LWA-341,1177.75,-1102.21,-744.23
LWA-342,1179.12,-854.23,-330.69
LWA-343,1184.22,-437.57,239.75
LWA-344,1181.94,-571.63,13.17
LWA-345,1182.67,-37.5,-163.56
LWA-346,1183.7,-139.39,90.18
LWA-347,1177.69,-1145.29,-356.09
LWA-348,1178.31,-1222.01,-95.25
LWA-349,1184.23,-821.13,586.41
LWA-350,1185.05,-680.9,758.89
LWA-351,1181.25,-843.95,278.08
LWA-352,1183.97,-601.93,402.3
LWA-353,1184.46,-1168.85,1074.22
LWA-354,1185.78,-899.09,1031.87
LWA-355,1181.72,-51.56,-413.48
LWA-356,1181.18,91.8,-411.9
LWA-357,1181.73,223.45,-257.64
LWA-358,1181.89,107.93,-269.84
LWA-359,1181.92,-26,-297.97
LWA-360,1180.89,308.91,-772.69
LWA-361,1182.48,63.33,-151.4
LWA-362,1180.72,382.82,-599.33
LWA-363,1181.37,201.17,-500.82
LWA-364,1180.95,10.29,-569.81
LWA-365,1200.3,-93.78,-922.93
LWA-366,1177.8,-1235.02,-852.93
,,,
,,,
,,,
,,,
